"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"cac",211.036448049775,-0.524753047599874,0.329014429050601,-1.59492411659298,0.110729205914515,0.354389162351898
"Cngl",12.297178977549,-0.167243103181241,0.647741833775117,-0.2581940743375,0.796257130920607,0.920179376023612
"CG11836",208.125998897658,0.502215862669882,0.237274160506458,2.11660579305353,0.0342933180584336,0.173040240763264
"CG33096",8.4162483870851,0.919881317396357,0.92092306797381,0.998868797390705,0.317858253323166,0.626819537691063
"bam",3.0961168528606,1.45601959443977,1.54791682848079,0.940631671967017,0.346893645420091,NA
"sisRNA:CR46364",36.0122494374403,0.315959571363212,0.476552074352069,0.663011637905044,0.507323100547302,0.775531376185916
"CG5890",4.3606845200136,0.237971175284712,1.00494662293887,0.236799815883543,0.812812094397605,NA
"CG17189",159.945773429745,-0.73117455994648,0.257672426408178,-2.83761274009284,0.00454522918748585,0.0431924304494306
"CG11951",207.285513859854,0.36131829671731,0.351228352589984,1.02872759005053,0.3036077012515,0.611621795502368
"dco",1709.96636591903,0.10700009801027,0.160983319301996,0.664665745955604,0.50626430752577,0.775142837580596
"CG32809",174.198088343743,0.461571368903425,0.256220027303571,1.80146483380299,0.0716296452507649,0.275426070090021
"CG3078",8.46002314216823,1.34497605234648,0.853460935399741,1.5759081600103,0.115046970158828,0.362810204467751
"CG43689",0.830497981295597,1.79192998997456,2.16165992605337,0.828960174714509,0.407126943061634,NA
"ctp",5212.67145017679,0.388068902225426,0.12768598036352,3.03924441133317,0.0023717235374667,0.0268467689729018
"CG9650",9.91710920320511,0.15851547365646,0.950523342788551,0.166766523788277,0.867553759917026,0.953384316542024
"ct",229.092467490084,-0.925535525887726,0.378173322044092,-2.44738449789384,0.0143897238231089,0.0971593234531601
"mei-P26",1156.62979648494,0.175603008285407,0.145220724908164,1.20921451395079,0.226580443086508,0.531027370414229
"CG1354",2778.41764857634,-0.379529743223959,0.109400310897047,-3.46918340644499,0.000522042941303732,0.00922784464304531
"CG17841",7709.2462753094,-1.0902407841015,0.283593927480334,-3.84437281075809,0.00012086114955966,0.00283471289008764
"flw",1368.28969200662,-0.0667178372080824,0.146389968009674,-0.455754162086252,0.648566769370404,0.859522935404908
"ras",1587.48546341559,-0.202244053245038,0.184820328628244,-1.09427385367245,0.27383488901542,0.582083098633533
"sbr",1604.87733841323,0.0995564328034517,0.113239678899284,0.879165622608292,0.379311481033177,0.682471363102716
"5PtaseI",258.782685265943,-0.0258679906730445,0.192915739716419,-0.134089580824611,0.893331738535389,0.963546475182056
"Nmnat",366.332241303204,0.371782096244136,0.151934954573122,2.44698198178752,0.0144058040582704,0.0971903927979087
"CG31145",3755.54330633394,-0.50014697342229,0.118155390298142,-4.23295942876805,2.30636123775979e-05,0.000745342007637868
"CASK",1460.58404339911,0.308884274594204,0.142222842932158,2.17183307706446,0.0298682557791848,0.157566680175924
"CG17279",21.950988861895,-0.335429330091665,0.581390194097175,-0.576943563027485,0.563977581081715,0.808876755124687
"Syp",5388.75665470789,-0.0166579183137508,0.166816199262189,-0.0998579178007116,0.920457126028826,0.971032953661359
"CG31122",483.799017393928,-0.273233432213438,0.137066564990777,-1.9934360522701,0.046213719392208,0.209023270349266
"hpRNA:CR46342",97.8795518509281,1.92817441371651,0.345195713407458,5.58574263476021,2.32703640581182e-08,2.01051196408252e-06
"hpRNA:CR32205",5.28579415285976,-1.12900545392414,1.07728987714094,-1.04800525641292,0.294636185101921,NA
"pre-rRNA:CR45856",8.37341595329863,2.63449001534326,0.947353116842745,2.78089549557112,0.00542091845147304,0.0489327468322199
"asRNA:CR44019",52.6261331401197,0.369301465387024,0.292205813894623,1.26384023803238,0.206287375447632,0.504079425083723
"hpRNA:CR33940",171.901397452958,-0.563969953454529,0.239253665007881,-2.35720507535779,0.0184130750510731,0.114973087357991
"hpRNA:CR32207",85.4848906586827,-0.154381358791479,0.444592259840754,-0.347242569735192,0.728409092112808,0.892667503679135
"hpRNA:CR18854",11781.8677413708,0.215672167326236,0.234515112269838,0.919651468251988,0.357754921571213,0.666525955904976
"lncRNA:CR46322",0.220038848502481,-1.97307998277853,4.04007608975107,-0.48837693621263,0.625282875253206,NA
"mir-9377",0.679848727359522,2.62284528767079,3.96213296886896,0.661978108326716,0.507985251723176,NA
"mir-9378",19.023958969429,0.207260050556369,0.596276163408324,0.347590702555788,0.728147589687329,0.892615833840178
"mir-9382",12.4705276309665,-0.875862553613875,0.704382473725276,-1.24344739723817,0.213703013635143,0.512729786468901
"mir-9381",1.30611297673887,0.505657545604371,2.03329807228696,0.248688351450424,0.803601860018629,NA
"mir-9376",11.7971021047364,-0.272641665626956,0.583906356905725,-0.466927037875999,0.640552080115051,0.854214436960645
"lncRNA:CR45334",5.56755256657867,4.01740949168394,1.55472136000834,2.58400610876176,0.00976600645929472,0.0753771893262064
"lncRNA:noe",88.1977914150554,0.212185261095091,0.362235686295658,0.585765757275236,0.558032937950259,0.806015845381242
"lncRNA:flam",1.55153747134593,0.663496873443299,1.56252941290481,0.424630005658471,0.67110641580032,NA
"lncRNA:CR46147",0.517928660666954,0.99966506290035,3.84926900906434,0.259702572240682,0.795093208344826,NA
"lncRNA:CR32582",26.9169621468612,0.542761501079063,0.401207017240186,1.35282155534716,0.176112644749565,0.46308874630266
"lncRNA:CR32636",26.5925766709839,1.91460451476603,0.531241292942358,3.60402050857475,0.000313332316235155,0.00627006521197485
"lncRNA:CR45484",0.31240676802916,1.48049891073399,4.02794452814606,0.367556926464284,0.713203637444529,NA
"lncRNA:CR44957",0.654548616536791,1.41436810942401,3.63612477664757,0.388976780584529,0.69729332287342,NA
"lncRNA:CR34335",4255.79024640115,0.288975661376514,0.132942728063004,2.17368535749894,0.0297287730627048,0.157320950951201
"RNaseP:RNA",102.889836920132,-0.572150993761053,0.279481210639022,-2.0471894781508,0.0406394841269433,0.193528971936349
"lncRNA:CR46207",0.952926086499713,3.10881414219611,3.94637909341786,0.787763686307096,0.430834945686446,NA
"asRNA:CR46065",6.51365882205108,0.65955948871995,0.772238739087649,0.854087544868803,0.39305648449036,0.693145906826965
