"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"cac",179.60196108379,0.487598972995818,0.286001443817865,1.70488290718678,0.0882162648523949,0.273837988812642
"Cngl",9.34431031359725,0.517323753913882,1.02375173708357,0.505321490723538,0.613333050881678,0.820274293623244
"CG11836",306.8652388239,-0.0937753045683282,0.283887442535748,-0.330325652063739,0.74115391220419,0.887432945116085
"CG33096",5.15462041094537,-0.570126133939464,1.04682962900487,-0.544621701700814,0.586013725855182,0.802369297825363
"bam",0.601522252516897,1.6405088190113,3.42319898047534,0.47923267924773,0.631773108444492,NA
"sisRNA:CR46364",39.2550792726396,0.384500951867995,0.360764205198702,1.06579573673674,0.286515988533497,0.561752897302518
"CG5890",2.77598772026155,-0.258597304386799,1.42779520465783,-0.181116523954688,0.856276114847817,NA
"CG17189",190.978559415838,0.832315374192708,0.409106466032562,2.03447132543356,0.0419040968585032,0.168748930592351
"CG11951",573.269390026496,0.140583484709529,0.338536737581229,0.415268031806437,0.677945700842555,0.858076657144964
"dco",1673.10427783632,-0.0764836041229682,0.11974587742751,-0.638715968900632,0.52300772236556,0.760601748979239
"CG32809",117.182622817685,0.311155284950445,0.24780147222989,1.25566358484658,0.209237967258882,0.470151763761675
"CG3078",10.594549386244,2.07530416077875,0.710856238008513,2.91944284908125,0.00350657685105909,0.0272171451744458
"CG43689",3.09062956458594,2.45068336086935,1.47223358468724,1.66460226580823,0.0959921330236217,NA
"ctp",5111.39327768149,0.28071639347742,0.123850296031996,2.26657830034495,0.0234159989259477,0.111603573276318
"CG9650",16.575043227065,0.478111680465907,0.634447520140105,0.753587436767545,0.451096990443195,0.71004401770712
"ct",124.012178126532,-1.54058402078164,0.236422500796172,-6.51623265803213,7.20951247401742e-11,7.53186883636142e-09
"mei-P26",1134.10105624659,0.00143459662114999,0.214256967431574,0.00669568247113435,0.994657658250397,0.996851191513712
"CG1354",2378.12812036215,-0.233147145869809,0.110657152166721,-2.10693246034869,0.0351234344205456,0.148000415135994
"CG17841",7838.00226309179,0.101585457719624,0.237866892826885,0.42706850252404,0.669329433725679,0.852632827348662
"flw",1674.78117675336,-0.175101951758816,0.120450140097108,-1.45372974757561,0.14602124737386,0.379304692020867
"ras",1692.54869641555,0.0124527711930035,0.15810863137042,0.07876085628639,0.937222839444964,0.974313531661391
"sbr",1645.62927340506,-0.136927633377453,0.116101963238913,-1.17937397058209,0.238249295208195,0.509277479808862
"5PtaseI",352.163846000469,-0.391108720231338,0.200100332683723,-1.95456306836592,0.0506346639918046,0.190330215476225
"Nmnat",403.834658685828,0.369350344109681,0.149672540486127,2.46772282283748,0.0135975563550508,0.0749019331582163
"CG31145",2657.37323319048,-0.0622621678513357,0.131807096435962,-0.472373411863946,0.636660278925914,0.835128485374171
"CASK",1851.26587038663,0.127047718742105,0.136369221898236,0.931645110044791,0.351519962153246,0.626955442702286
"CG17279",59.3953433856102,0.746878888072202,0.381711343627894,1.95665887467124,0.0503875880717863,0.189790469582418
"Syp",4284.15035164316,-0.220695856105335,0.178138074394085,-1.23890334425139,0.215381295052701,0.478708240187451
"CG31122",544.699464160079,-0.233006308188461,0.143096314027322,-1.62831803021825,0.10345746830124,0.306494435915896
"hpRNA:CR46342",27.9822272520478,0.569684580394347,0.54387826040845,1.04744870656628,0.29489267761442,0.57027224400797
"hpRNA:CR32205",5.85480091946831,0.93717370597591,0.954519497914827,0.981827723816214,0.326184727502608,0.598565109685282
"pre-rRNA:CR45856",41.6289080182461,-1.82217314742332,1.85543642031957,-0.982072534239398,NA,NA
"asRNA:CR44019",27.1100934679008,0.781595456852348,0.49417038716557,1.58163151243314,0.113733715789225,0.32364613112344
"hpRNA:CR33940",176.127329540331,-1.29122998459172,0.226333764806884,-5.70498169238441,1.16355594194482e-08,7.05037330422431e-07
"hpRNA:CR32207",85.2207698414478,-1.39742332464236,0.388994908816731,-3.59239489507235,0.000327652823669185,0.0044184518016754
"hpRNA:CR18854",9516.81531789217,0.0972813092902503,0.150656967123417,0.645713976244842,0.518464607564413,0.757628018828433
"lncRNA:CR46322",1.07189657832418,0.533653832646504,2.50044127710627,0.213423861433009,0.830996370489851,NA
"mir-9377",1.25452233028474,0.725917379217198,2.74869322719796,0.264095451625646,0.791706368590791,NA
"mir-9378",15.0234408809565,-0.48204857379935,0.629030438317113,-0.766335847099874,0.443476493966663,0.704431641674764
"mir-9382",29.1363708027664,0.0590613985511012,0.59322540260702,0.0995597934470554,0.9206938153522,0.968323099091307
"mir-9381",2.39967249257525,-3.37088940251044,2.1400399210619,-1.57515257978822,0.115221229850865,NA
"mir-9376",3.4220685030201,0.581413514225488,1.38860508851599,0.418703286509519,0.675432993502295,0.857044601136724
"lncRNA:CR45334",4.21232353010089,4.64350622550123,1.61587609633549,2.87367715633138,0.00405723463066088,0.0302760308358594
"lncRNA:noe",57.5381499118916,0.181083995843911,0.3178673635058,0.56968414072685,0.568891948493458,0.791492853226122
"lncRNA:flam",2.01583850159939,-1.30527319088199,1.87781350888081,-0.69510267377933,0.486990959261676,NA
"lncRNA:CR46147",0.30829496027649,2.1359157517925,4.03991292254539,0.528703413351481,0.597011208968253,NA
"lncRNA:CR32582",33.3135134013929,-0.0102155512332621,0.54154463541453,-0.0188637289804238,0.98494981446966,0.993173676260846
"lncRNA:CR32636",44.2094449035775,2.09701552631855,0.526218772517018,3.98506407570386,6.7461918976133e-05,0.00119292097582504
"lncRNA:CR45484",1.9102544823188,-0.0379436694073604,1.83996050417855,-0.0206220021142793,0.98354718904795,NA
"lncRNA:CR44957",1.92760306319433,-0.0576437508637189,1.62026866609277,-0.0355766621116763,0.971619917475586,NA
